,address,apartment_size,begin_date,category,created_at,district1,id,latitude,longitude,name,normalized_price,number_of_bedrooms,occupied_dates,provider_code,city_code
1483,Herengracht 181,82.0,2018-02-16,apartment,2018-02-10T06:50:30,amsterdam-centrum,1022001,52.37434042,4.88804014,2 rooms apartment in Herengracht 181,2250.0,2,[],pararius,amsterdam
1493,Herengracht,72.0,2018-02-16,apartment,2017-12-29T15:25:01,amsterdam-centrum,851325,52.36864726,4.88710575,3 rooms apartment in Herengracht,2500.0,3,[],pararius,amsterdam
1499,Marie Heinekenplein 414,80.0,2018-02-16,apartment,2018-02-02T06:24:06,amsterdam-zuid,992391,52.35718037,4.89172685,3 rooms apartment in Marie Heinekenplein 414,2100.0,3,[],pararius,amsterdam
1502,Rustenburgerstraat,55.0,2018-02-16,apartment,2018-02-07T06:56:05,amsterdam-zuid,1007899,52.352802200000006,4.90011275,2 rooms apartment in Rustenburgerstraat,1400.0,2,[],pararius,amsterdam
1503,Valkenburgerstraat,110.0,2018-02-16,apartment,2018-01-26T07:53:50,amsterdam-centrum,957363,52.369159700000004,4.90667277,4 rooms apartment in Valkenburgerstraat,2150.0,4,[],pararius,amsterdam
1506,Korte Leidsedwarsstraat,80.0,2018-02-16,apartment,2018-01-30T06:06:05,amsterdam-centrum,979364,52.36307168,4.88478292,3 rooms apartment in Korte Leidsedwarsstraat,2000.0,3,[],pararius,amsterdam
1507,Moreelsestraat 5,150.0,2018-02-16,apartment,2018-01-25T07:10:47,amsterdam-zuid,951283,52.355552200000005,4.88077998,4 rooms apartment in Moreelsestraat 5,2950.0,4,[],pararius,amsterdam
1510,Nieuwe Spiegelstraat,80.0,2018-02-16,apartment,2017-11-29T08:22:08,amsterdam-centrum,707003,52.36362205,4.88898289,2 rooms apartment in Nieuwe Spiegelstraat,1975.0,2,[],pararius,amsterdam
1515,Churchill-laan,75.0,2018-02-16,apartment,2018-02-08T06:57:39,amsterdam-zuid,1013592,52.34702013,4.89939837,3 rooms apartment in Churchill-laan,1800.0,3,[],pararius,amsterdam
1516,Spaarndammerstraat,105.0,2018-02-16,apartment,2017-12-07T09:15:15,amsterdam-west,791253,52.390468,4.87833921,3 rooms apartment in Spaarndammerstraat,2100.0,3,[],pararius,amsterdam
1518,Jacob Obrechtstraat,73.0,2018-02-16,apartment,2017-11-22T02:56:00,amsterdam-zuid,692595,52.35782495,4.874251,2 rooms apartment in Jacob Obrechtstraat,2350.0,2,[],pararius,amsterdam
1522,Govert Flinckstraat 115,85.0,2018-02-16,apartment,2018-01-20T06:13:08,amsterdam-zuid,935009,52.35487962,4.89175253,3 rooms apartment in Govert Flinckstraat 115,2250.0,3,[],pararius,amsterdam
1523,Faas Wilkesstraat,80.0,2018-02-16,apartment,2017-10-21T06:59:05,amsterdam-oost,612549,52.3721033,4.97080887,3 rooms apartment in Faas Wilkesstraat,1550.0,3,[],pararius,amsterdam
1528,Westerdok,80.0,2018-02-16,apartment,2017-10-21T07:12:41,amsterdam-centrum,613378,52.38527864,4.89236765,3 rooms apartment in Westerdok,1850.0,3,[],pararius,amsterdam
1529,Overtoom,77.0,2018-02-16,apartment,2018-01-26T07:53:53,amsterdam-west,957366,52.36160016,4.8701995,2 rooms apartment in Overtoom,1750.0,2,[],pararius,amsterdam
1530,Piet Gijzenbrugstraat,70.0,2018-02-16,apartment,2017-12-20T07:15:01,amsterdam-zuid,829919,52.35033253,4.84673001,2 rooms apartment in Piet Gijzenbrugstraat,1795.0,2,[],pararius,amsterdam
